comentario,clasificacion
La clase de química fue confusa y no logré aprender el tema.,negativo
La explicación de química fue poco clara y demasiado rápida.,negativo
No entendí los ejercicios de química y faltó apoyo del docente.,negativo
El material de química estaba desordenado y fue difícil de usar.,negativo
La actividad de química fue frustrante y las instrucciones eran incorrectas.,negativo
La clase de arte fue confusa y no logré aprender el tema.,negativo
La explicación de arte fue poco clara y demasiado rápida.,negativo
No entendí los ejercicios de arte y faltó apoyo del docente.,negativo
El material de arte estaba desordenado y fue difícil de usar.,negativo
La actividad de arte fue frustrante y las instrucciones eran incorrectas.,negativo
La clase de estadística fue confusa y no logré aprender el tema.,negativo
La explicación de estadística fue poco clara y demasiado rápida.,negativo
No entendí los ejercicios de estadística y faltó apoyo del docente.,negativo
El material de estadística estaba desordenado y fue difícil de usar.,negativo
La actividad de estadística fue frustrante y las instrucciones eran incorrectas.,negativo
